Timestamp,FurnaceTC (C)
2026-07-10 15:53:16.096119,0.11
2026-07-10 15:53:17.093079,0.11
2026-07-10 15:53:18.093493,0.11
2026-07-10 15:53:19.092555,0.11
2026-07-10 15:53:20.109148,0.11
2026-07-10 15:53:21.111059,0.11
2026-07-10 15:53:22.107792,0.11
2026-07-10 15:53:23.108265,0.11
2026-07-10 15:53:24.107841,0.11
2026-07-10 15:53:25.110045,0.11
2026-07-10 15:53:26.111087,0.11
2026-07-10 15:53:27.110886,0.11
2026-07-10 15:53:28.110370,0.11
2026-07-10 15:53:29.110525,0.11
2026-07-10 15:53:30.110187,0.11
2026-07-10 15:53:31.110635,0.11
2026-07-10 15:53:32.101805,0.11
2026-07-10 15:53:33.103559,0.11
2026-07-10 15:53:34.109343,0.11
2026-07-10 15:53:35.103158,0.11
2026-07-10 15:53:36.111554,0.11
2026-07-10 15:53:37.108864,0.11
2026-07-10 15:53:38.109186,0.11
